Title,Description,Estimate,Labels,Priority
"S0-1 Audit live schema","Read-only audit of live sites/subsections/snags/document_categories; reconcile vs docs/system-reference. Gate every migration on this. File: docs/sessions/fortress-schema-audit.md. Blocked by: none.",1,"fortress;sprint-0",2
"S0-2 Land Site-Health redesign","Confirm the Site-Health redesign (single SoT + snag-status migration) is merged — dependency for the dashboard. File: src/lib/siteHealth.ts. Blocked by: none.",3,"fortress;sprint-0",2
"S0-3 Rename electrical FORTRESS template (D6)","Rename src/lib/fortressTemplate.ts -> wmElectricalScope.ts (""WM Electrical Scope""); update refs. Clears the naming clash before any new UI. Blocked by: none.",1,"fortress;sprint-0",3
"S0-4 Apply base migration + import staging","Apply 20260612200000_fortress_building_layer.sql then 210000 hardening to staging; add fortress_import_batches; load Abaqulusi seed; regenerate TS types. Blocked by: S0-1.",1,"fortress;sprint-0",2
"S0-5 RLS hardening + security-review","Apply 20260612220000_fortress_rls_scope.sql (membership-scoped reads); confirm Client/Contractor scoping; run /security-review on the diff. REQUIRED before exposing tables. Blocked by: S0-4.",3,"fortress;sprint-0;security",1
"S1-1 Edge fn: import-fortress-workbook","SheetJS parse via versioned column-map -> validate (arity, unmapped cols) -> preview -> commit/upsert. File: supabase/functions/import-fortress-workbook/index.ts. Blocked by: S0-4.",5,"fortress;sprint-1;import",2
"S1-2 Column-map config per sheet","Versioned per-sheet column maps for OPS/CM/Annual (handles empty leading col, duplicate section codes). File: src/lib/fortress/columnMaps.ts. Blocked by: none.",3,"fortress;sprint-1;import",2
"S1-3 Import wizard UI","Upload -> preview -> commit flow with row counts and error surfacing. File: src/components/fortress/ImportWizard.tsx. Blocked by: S1-1.",3,"fortress;sprint-1",3
"S1-4 Asset register CRUD","building_assets list/filter/CRUD + import. Files: src/components/fortress/AssetRegister.tsx, src/hooks/useBuildingAssets.ts. Blocked by: S1-1.",3,"fortress;sprint-1",2
"S1-5 ppm.ts rollups + tests","Pure module: due<=30d, overdue, on-schedule% (reads next_service_date). Files: src/lib/fortress/ppm.ts + ppm.test.ts. Blocked by: S1-4.",3,"fortress;sprint-1",2
"S1-6 Dashboard Group C (Assets & PPM)","Cards bound to ppm.ts. File: src/components/fortress/dashboard/AssetsPpmGroup.tsx. Blocked by: S1-5.",1,"fortress;sprint-1",3
"S2-1 buildingCompliance.ts + tests","Weighted OHS % rollup (tunable weights constant) + tests. File: src/lib/fortress/buildingCompliance.ts. Blocked by: S0-4.",3,"fortress;sprint-2",2
"S2-2 OHS checklist CRUD/import + drill-down","ohs_compliance_items capture + per-section drill-down. File: src/components/fortress/OhsChecklist.tsx. Blocked by: S1-1.",3,"fortress;sprint-2",2
"S2-3 Resolve D4: condition fields/table","Decide inspection_items condition+action fields vs building_condition_items; ship migration. File: supabase/migrations/..._inspection_condition.sql. Blocked by: S0-1.",3,"fortress;sprint-2",2
"S2-4 Seed condition + OPS-monthly templates","Building-Condition + OPS monthly inspection templates. File: src/lib/templates/buildingCondition.ts. Blocked by: S2-3.",3,"fortress;sprint-2",3
"S2-5 Dashboard Groups A & B","Compliance + Condition card groups. Files: src/components/fortress/dashboard/{Compliance,Condition}Group.tsx. Blocked by: S2-1,S2-3.",1,"fortress;sprint-2",3
"S3-1 utilities.ts + Group D","Pure module: solar/borehole yield, water-balance variance, night-usage flag + tests; Utilities cards. File: src/lib/fortress/utilities.ts. Blocked by: S1-1.",3,"fortress;sprint-3",2
"S3-2 Tenant register CRUD/import + backfill","tenants CRUD/import; backfill from subsections.tenant_name; keep in sync. File: src/components/fortress/TenantRegister.tsx + migration. Blocked by: S1-1.",5,"fortress;sprint-3",2
"S3-3 Shop-spec import + over-draw flag; Group E","tenant_shop_specs import; amperage actual-vs-lease flag; compliance matrix. File: src/components/fortress/ShopSpecMatrix.tsx. Blocked by: S3-2.",3,"fortress;sprint-3",3
"S4-1 Ledgers CRUD/import; Groups G/H","masterfile_index / expense_recoveries / security_incidents capture + cards. Files: src/components/fortress/{Masterfile,Recoveries,Incidents}.tsx. Blocked by: S1-1.",3,"fortress;sprint-4",3
"S4-2 Commercial import (import-only); Group F","tenant_trading / tenant_movements import-only tiles flagged with source period (D5). File: src/components/fortress/dashboard/TradingGroup.tsx. Blocked by: S1-1.",3,"fortress;sprint-4",3
"S4-3 Report generators (OPS/CM/Annual)","reportKpis.ts + three pdfmake generators matching the real report layouts. Files: src/lib/fortress/reports/{ops,cm,annual}.ts. Blocked by: S2-5,S3-3,S4-1.",5,"fortress;sprint-4;reports",2
"S4-4 Screen<->PDF parity test","Assert every dashboard KPI equals its PDF value on the Abaqulusi fixture. File: src/lib/fortress/reports/parity.test.ts. Blocked by: S4-3.",3,"fortress;sprint-4;test",2
"S5-1 Portfolio rollup","Cross-building rollup (compliance %, overdue services, incidents). File: src/app/(admin)/fortress-portfolio/page.tsx. Blocked by: S4-3.",3,"fortress;sprint-5",4
"S5-2 Offline capture parity","Offline asset/PPM/condition capture + photos via existing offline layer. File: src/lib/offlineInspectionDB.ts. Blocked by: S1-4,S2-3.",3,"fortress;sprint-5",3
"S5-3 Preflight: audit-cleanup + deploy-checklist + pre-mortem","Run codebase-audit-cleanup, engineering:deploy-checklist, final pre-mortem; address findings. File: docs/sessions/fortress-preflight.md. Blocked by: all sprints.",3,"fortress;sprint-5",2
